name,type,url,rating,review_count,address,phone,outreach_status,notes
Le Loft OSMOZ,Espace événementiel,http://www.osmoz.work/,4.9,28,"10 Rue Roger Verlomme, 75003 Paris",06 75 18 69 32,pending,
Casino Beach Events C.B.E,Organisateur d'événements,https://casinosoiree.fr/,4.5,27,"91 Rue du Faubourg Saint-Honoré, 75008 Paris",07 89 54 42 76,pending,
FREDDOX ÉLITE EVENTS,Prestataire de mariage,https://freddox-elite-events.fr/,5.0,26,Paris,07 60 43 41 02,pending,
Animaux Events,Agence événementielle,https://animaux.bar/events/,5.0,26,Paris,,pending,
Tea Loft,Organisateur d'événements,http://letealoft.fr/,4.4,24,"16 Rue du Faubourg Saint-Denis, 75010 Paris",01 83 81 99 21,pending,
Paris Society Events,Organisateur d'événements,https://paris-society-events.com/,3.2,24,"38 Av. des Champs-Élysées, 75008 Paris",01 45 26 04 58,pending,
Kymono Life,Organisateur d'événements,https://www.kymonolife.co/,5.0,24,"8 Rue Danielle Casanova, 75002 Paris",,pending,
Amazing Events Paris,Agence événementielle,https://amazingeventsparis.com/,5.0,23,"161 Bd Voltaire, 75011 Paris",06 60 20 06 10,pending,
For Event,Agence événementielle,https://forevent.fr/,4.8,23,"20 Rue Voltaire, 93100 Montreuil",01 48 44 48 70,pending,
Ouilo,Agence événementielle,http://ouilo.net/,5.0,22,"229 Rue Saint-Honoré, 75001 Paris",06 19 61 94 19,pending,
Feel Free Records,Organisateur d'événements,https://feelfreerecords.com/,5.0,21,"402 Rue Saint-Honoré, 75001 Paris",,pending,
Maison Wellness,Agence événementielle,https://www.maison-wellness.com/,4.8,20,"229 Rue Saint-Honoré, 75001 Paris",06 46 60 40 66,pending,
La Fabrique Marais,Salle de réception,https://www.fabrique-evenementielle.fr/la-fabrique-marais,4.8,20,Paris 4e,,pending,
AnimationEvenement.com,Animateur de soirées,http://www.animationevenement.com/,4.6,19,"23 Pass. de la Main d'Or, 75011 Paris",,pending,
Moon Event,Agence événementielle,https://www.moon-event.fr/,4.5,19,"66 Bis Av. Victor Cresson, 92130 Issy-les-Moulineaux",09 83 23 43 14,pending,
Agence 008,Agence événementielle,https://www.agence008.com/,5.0,17,"18 Rue des Blancs Manteaux, 75004 Paris",01 53 63 87 34,pending,
Ma Langue au Chat,Organisateur d'événements,http://www.malangueauchat.com/,4.6,16,"58 Rue Jean-Jacques Rousseau, 75001 Paris",01 44 92 93 94,pending,
Kaskad République,Salle de réception,https://kaskadrepublique.com/,4.8,16,Paris 10e,06 60 90 98 10,pending,
